Ref,NameDate,Character,FromName,ToName,KnownAs,Notes,CDate,UDate,CName,UName
1,"01/07/45 00:00:00",9,,"Archer",0,"Maiden Name","02/09/99 00:00:00","02/11/99 10:15:35","DataEase","gartyp01"
2,"09/29/94 00:00:00",13,"Archer","Pargetter",1,"called Lizzie by Nigel (her husband) only","02/09/99 00:00:00","04/08/13 12:24:59","DataEase","fishec50"
3,"11/16/57 00:00:00",18,"Patterson","Archer",0,"Maiden Name","02/09/99 00:00:00","03/21/01 11:40:20","DataEase","fishec50"
4,"12/12/74 00:00:00",20,"Lewis","Archer",0,"Maiden Name","02/09/99 00:00:00","03/21/01 11:41:32","DataEase","fishec50"
5,"12/15/88 00:00:00",21,"Pritchard","Archer",0,"Maiden Name","02/09/99 00:00:00","03/21/01 11:42:32","DataEase","fishec50"
6,"12/15/56 00:00:00",28,"Archer","Johnson",0,"Maiden Name","02/09/99 00:00:00","03/21/01 12:00:47","DataEase","fishec50"
7,"05/26/69 00:00:00",33,"Archer","Nicholson",0,"Maiden Name","02/09/99 00:00:00","03/21/01 12:04:59","DataEase","fishec50"
8,"09/11/95 00:00:00",45,"Bone","Pemberton",0,"Maiden Name","02/09/99 00:00:00","03/21/01 12:32:35","DataEase","fishec50"
9,"07/17/43 00:00:00",49,"Perkins","Archer",0,"Maiden Name","02/09/99 00:00:00","03/21/01 12:42:55","DataEase","fishec50"
10,"02/25/84 00:00:00",53,"Horrobin","Carter",0,"Maiden Name","02/09/99 00:00:00","03/21/01 12:07:20","DataEase","fishec50"
11,"09/26/58 00:00:00",55,"Harris","Forrest",0,"Maiden Name","02/09/99 00:00:00","03/21/01 12:13:02","DataEase","fishec50"
12,"11/21/81 00:00:00",76,"Larkin","Grundy",0,"Maiden Name","02/09/99 00:00:00","03/21/01 12:19:54","DataEase","fishec50"
13,"09/21/85 00:00:00",90,"Archer","Hebden",0,"Maiden Name","02/09/99 00:00:00","03/21/01 12:21:15","DataEase","fishec50"
14,,109,"Larkin","Mabbott",0,"Maiden Name","02/09/99 00:00:00","03/21/01 12:25:12","DataEase","fishec50"
15,"04/24/87 00:00:00",127,"Holland","Perks",0,"Second marriage","02/09/99 00:00:00","03/21/01 12:34:54","DataEase","fishec50"
16,,129,,"Perks",0,"Maiden Name","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
17,,140,,"Doreen Rogers",0,"Maiden Name","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
18,"12/25/72 00:00:00",173,"Lily","Woodford",0,"Maiden Name","02/09/99 00:00:00","03/21/01 12:41:42","DataEase","fishec50"
19,"12/17/21 00:00:00",176,"Forrest","Archer",0,"Maiden Name","02/09/99 00:00:00","03/21/01 11:55:06","DataEase","fishec50"
20,"02/14/85 00:00:00",177,"Wilson","Archer",0,"Maiden Name","02/09/99 00:00:00","03/21/01 11:56:04","DataEase","fishec50"
21,,187,,"Atkins",0,"Maiden Name","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
22,"04/11/55 00:00:00",189,"Fairbrother","Archer",0,"Maiden Name - Phil's first wife","02/09/99 00:00:00","03/21/01 11:57:16","DataEase","fishec50"
23,,216,,"Hood",0,"Maiden Name","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
24,,232,,"Buckland",0,"Maiden Name","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
25,,234,,"Butler",0,"Maiden Name","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
26,,235,,"Butler",0,"Maiden Name","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
27,,245,,"Cooper",0,"Maiden Name","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
28,"04/17/52 00:00:00",313,"Carey","Fairbrother",0,"Second marriage maiden name unknown","02/09/99 00:00:00","03/21/01 12:10:27","DataEase","fishec50"
29,"09/27/66 00:00:00",321,"Mead","Perks",0,"Maiden Name","02/09/99 00:00:00","03/21/01 12:35:37","DataEase","fishec50"
30,"12/23/68 00:00:00",331,"McAuley","Salt",0,"Maiden Name","02/09/99 00:00:00","03/21/01 12:27:13","DataEase","fishec50"
31,"09/18/61 00:00:00",370,"Grey","Grenville",0,,"02/09/99 00:00:00","03/21/01 12:38:43","DataEase","fishec50"
32,,377,,"Lenz",0,"Maiden Name","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
33,,462,,"Full Name: Harvey",0,"Maiden Name","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
34,,463,,"Prescott",0,"Maiden Name","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
36,"09/27/68 00:00:00",9,"Archer","Travers-Macy",0,"First Marriage","02/11/99 10:16:24","02/11/99 10:16:25","gartyp01","gartyp01"
37,"05/29/76 00:00:00",9,"Travers-Macy","Aldridge",0,"Second Marriage","02/11/99 10:17:04","02/11/99 10:17:05","gartyp01","gartyp01"
38,,9,,"Jenny",1,"Only used by Brian","02/11/99 10:18:53","02/11/99 10:18:54","gartyp01","gartyp01"
