Ref,CharDate,Character,CharNote,CDate,UDate,CName,UName
871,,76,"1966: Unheard but comes to live in Ambridge with her father","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
872,,76,"Jethro Larkin, who got a job as a general worker at Brook-","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
873,,76,"field.  She was described as jolly and fat when she was 17","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
874,,76,"in 1973 at which time she got a job cooking in the steak","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
875,,76,"bar at The Bull.","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
876,,76,"Her dream was to become an airline hostess.","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
877,,77,"EDDIE full name Edward George","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
878,,78,"to William Grundy. Weighing 8lbs 4oz at 12.30 lunchtime.","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
879,,78,"George after his father, and Clarrie threatened to call him","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
880,,78,"Barry after Barry Manilowe.","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
881,,78,"Established in episode 8789 that he was born with a lot of","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
882,,78,"black hair.","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
883,,78,"bedroom walls.","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
884,,78,"EDWARD after Prince Edward in episode 8791.","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
885,,79,"He is a very poor farmer.  Two sons Alf and Eddie.","02/10/99 00:00:00","09/20/12 13:57:12","DataEase","smitha49"
886,,79,"1970-1975 The character was played by actor Reg Johnston.","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
887,,79,"1976-1984 The character was played by Haydn Jones who died","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
888,,79,"6th November 1984.","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
889,,80,"Two weeks late - weighs 8lbs 14oz (22"" long).","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
890,,80,"tired and irritated with him.","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
891,,80,"Sid bought him a Christening mug; Neil a silver plated","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
892,,80,"napkin ring with a W engraved on it; Woolley a silver plated","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
893,,80,"mickey mouse money box.  NB Against Clarrie's wishes, Jethro","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
894,,80,"and the Grundy's ask all sorts of people to be godparents.","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
895,,80,"Jethro asked Phil, Joe wanted Alf, Eddie asked Nelson, Joe","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
896,,80,"also asked Mary Pound and even Shula was asked by someone!","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
897,,80,"Attending the Christening were: Phil, Jill, Shula, Caroline,","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
898,,80,"Woolley, Sid, Neil, Tom and family etc.","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
899,,80,"Caroline gives William a Victorian christening robe.","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
900,,83,"Established he is an Accountant.","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
901,,83,"Established he is very rarely at home.","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
902,,84,"March: Established that she is a former President of WI.","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
903,,84,"Daughter owns a horse end enjoys riding.","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
904,,85,"The Green.  They were offered one of the low cost houses and","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
905,,85,"so the council offered their house to Sharon Richards: 10457","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
906,,87,"Unheard, but is reported by Shula as a good bit older than","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
907,,87,"Phil and Jill and wearing well.  Had Mark when she was 33","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
908,,87,"Jill said she was elegant, energetic and pleasant. 7886.","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
909,,87,"Shula told Jill she thought Mrs. Hebden was awful. Bossy.","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
910,,87,"Mrs. Hebden thinks Shula is intelligent and cheerful.","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
911,,87,"7889 (1981) She plays bridge and golf.","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
912,,87,"Her real name is Audrey her nickname is BUNTY.","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
913,,88,"1981: Sister to Mark Hebden.  Ginger hair, brown eyes. 7906","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
914,,88,"at least two stone overweight.  She really wanted to be a","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
915,,88,"bridesmaid...but it is assumed she wasn't asked.","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
916,,89,"Went to Shrewsbury School and then read law at Durham Univ.","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
917,,89,"1977: Qualified as a Solicitor.  (MARK CHARLES TIMOTHY)","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
918,,89,"His parents live in Borchester - his mother, Audrey, known","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
919,,89,"as Bunty, is a flower arranger and golfer of renoun.  After","02/10/99 00:00:00","02/10/99 00:00:00","DataEase","DataEase"
2,,2,"Politics None","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
3,,9,"Politics Conservative Jennifer doesn't like cats. Jennifer is blonde - but in her opinion not a natural blonde because she has highlights","02/09/99 00:00:00","04/20/99 16:53:03","DataEase","fishec50"
4,,19,"Politics Cons/incli/left","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
5,,20,"Politics Labour","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
6,,89,"Politics S.D.P.","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
7,,90,"Politics S.D.P.","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
8,,101,"Politics Not Established","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
9,,102,"Politics Not Established","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
10,,103,"Politics Not Established","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
11,,104,"Politics Not Established","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
12,,105,"Politics Not Established","02/09/99 00:00:00","03/26/00 12:56:46","DataEase","fishec50"
13,,106,"Politics Not Established","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
14,,107,"Politics Not Established","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
15,,108,"Politics Not Established","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
16,,109,"Politics Not Established","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
17,,110,"Politics Not Established","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
18,,111,"Politics Not Established","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
19,,112,"Politics Not Established","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
20,,126,"Politics Conservative","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
21,,134,"Politics Not Established","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
22,,163,"Politics Union Man","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
23,,175,"Politics Conservative","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
24,,178,"Politics None","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
25,,189,"Politics Not Established","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
26,,302,"Politics New Age","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
27,,313,"Politics Conservative","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
28,,352,"Politics Fascist","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
29,,353,"Politics Fascist","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
31,,503,"Politics New Age","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
33,,2,"Lives at Home Farm","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
34,,3,"Lives at Home Farm","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
36,,9,"Lives at Home Farm","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
37,,10,"Lives at Home Farm Cottages","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
38,,13,"Lives at Lower Loxley","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
39,,14,"Lives at Nightingale Farm","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
41,,16,"Lives at Bridge Farm","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
42,,17,"Lives at Abroad","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
43,,18,"Lives at Brookfield Farm","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
44,,19,"Lives at Brookfield Farm","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
45,,20,"Lives at Bridge Farm","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
46,,21,"Lives at Brookfield Bungalow","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
47,,22,"Lives at Brookfield Bungalow","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
48,"11/02/11 00:00:00",23,"Tom's working week:  Monday and Thursday:  Tom works with Maurice (butcher) at his rented premises in the business units at Sawyers Farm.
Wednesday is veg box day
He helps with milking on Sunday, Wednesday and Friday.
During the rest of the week he works with Jazzer in the pig field and helps Tony on the farm.","02/09/99 00:00:00","01/12/12 12:04:19","DataEase","fishec50"
49,,24,"Lives at Bridge Farm","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
51,,26,"Lives at Minnesota","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
52,,27,"Lives at On A Bus/teepee","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
53,,28,"Lives at Riding Stables","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
55,,30,"Lives at Dead And Gone","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
56,,31,"Lives at London","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
57,,32,"Lives at St. Albans/exPolice House","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
58,,33,"Lives at Guernsey","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
59,,35,"Lives at Flat/Borchester","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
60,,36,"Lives at Guernsey","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
61,,38,"Lives at Loxley Barratt","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
62,,40,"Lives at Glebelands","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
63,,41,"Lives at Glebelands","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
64,,44,"Lives at Low Cost Housin","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
66,,47,"Lives at Grey Gables","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
67,,48,"Lives at Grey Gables Lodge","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
68,,49,"Lives at Grey Gables Lodge","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
69,,51,"Lives at 1 The Green","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
70,,52,"Lives at 1 The Green","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
72,,55,"Lives at Dead And Gone","02/09/99 00:00:00","02/09/99 00:00:00","DataEase","DataEase"
