Ref,Character,Occupation,JobFrom,CDate,UDate,CName,UName
1,1,66,,,,DataEase,DataEase
2,2,143,,,,DataEase,DataEase
3,3,140,,,,DataEase,DataEase
4,5,66,,,,DataEase,DataEase
5,9,172,,,,DataEase,DataEase
6,10,126,,,,DataEase,DataEase
7,13,102,,,,DataEase,DataEase
8,14,51,,,,DataEase,DataEase
9,15,7,,,,DataEase,DataEase
10,16,126,,,,DataEase,DataEase
11,17,10,,,,DataEase,DataEase
12,18,87,,,,DataEase,DataEase
13,19,66,,,,DataEase,DataEase
14,20,66,,,,DataEase,DataEase
15,21,66,,,,DataEase,DataEase
16,23,126,,,,DataEase,DataEase
17,24,112,,,,DataEase,DataEase
18,26,90,,,,DataEase,DataEase
19,28,141,,,,DataEase,DataEase
20,29,73,,,,DataEase,DataEase
21,31,88,,,,DataEase,DataEase
22,32,118,,,,DataEase,DataEase
23,33,123,,,,DataEase,DataEase
24,38,32,,,,DataEase,DataEase
25,39,11,,,,DataEase,DataEase
26,40,139,,,,DataEase,DataEase
27,41,134,,,,DataEase,DataEase
28,43,29,,,,DataEase,DataEase
29,44,160,,,,DataEase,DataEase
30,45,84,,,,DataEase,DataEase
31,47,31,,,,DataEase,DataEase
32,48,147,,,,DataEase,DataEase
33,49,87,,,,DataEase,DataEase
34,51,126,,,,DataEase,DataEase
35,52,67,,,,DataEase,DataEase
36,53,36,,,,DataEase,DataEase
37,54,83,,,,DataEase,DataEase
38,55,134,,,,DataEase,DataEase
39,58,137,,,,DataEase,DataEase
40,59,7,,,,DataEase,DataEase
41,60,69,,,,DataEase,DataEase
42,61,95,,,,DataEase,DataEase
43,63,66,,,,DataEase,DataEase
44,64,171,,,,DataEase,DataEase
45,65,162,,,,DataEase,DataEase
46,66,52,,,,DataEase,DataEase
47,70,5,,,,DataEase,DataEase
49,72,136,,,,DataEase,DataEase
50,73,45,,,,DataEase,DataEase
51,75,144,,,,DataEase,DataEase
52,76,19,,,,DataEase,DataEase
53,77,66,,,,DataEase,DataEase
54,78,126,,,,DataEase,DataEase
55,79,66,,,,DataEase,DataEase
56,80,126,,,,DataEase,DataEase
57,81,150,,,,DataEase,DataEase
58,83,2,,,,DataEase,DataEase
59,89,150,,,,DataEase,DataEase
60,90,28,,,,DataEase,DataEase
61,91,66,,,,DataEase,DataEase
62,92,30,,,,DataEase,DataEase
63,93,66,,,,DataEase,DataEase
64,95,126,,,,DataEase,DataEase
65,96,21,,,,DataEase,DataEase
66,98,34,,,,DataEase,DataEase
67,99,99,,,,DataEase,DataEase
68,103,25,,,,DataEase,DataEase
69,104,70,,,,DataEase,DataEase
70,105,105,,,,DataEase,DataEase
71,106,23,,,,DataEase,DataEase
72,107,63,,,,DataEase,DataEase
73,108,28,,,,DataEase,DataEase
74,110,170,,,,DataEase,DataEase
75,111,72,,,,DataEase,DataEase
76,112,165,,,,DataEase,DataEase
77,113,40,,,,DataEase,DataEase
78,117,33,,,,DataEase,DataEase
79,120,42,,,,DataEase,DataEase
80,121,48,,,,DataEase,DataEase
81,122,107,,,,DataEase,DataEase
82,123,59,,,,DataEase,DataEase
83,125,58,,,,DataEase,DataEase
84,126,97,,,,DataEase,DataEase
85,127,81,,,,DataEase,DataEase
86,128,124,,,,DataEase,DataEase
87,130,57,,,,DataEase,DataEase
88,131,91,,,,DataEase,DataEase
89,133,158,,,,DataEase,DataEase
90,135,163,,,,DataEase,DataEase
91,136,143,,,,DataEase,DataEase
92,138,55,,,,DataEase,DataEase
93,140,41,,,,DataEase,DataEase
94,142,127,,,10/18/00 12:45:36,DataEase,fishec50
95,143,37,,,,DataEase,DataEase
96,147,126,,,,DataEase,DataEase
97,148,66,,,,DataEase,DataEase
98,149,168,,,,DataEase,DataEase
99,151,66,,,,DataEase,DataEase
100,152,153,,,,DataEase,DataEase
101,157,50,,,,DataEase,DataEase
102,158,15,,,,DataEase,DataEase
103,159,90,,,,DataEase,DataEase
104,161,,,,10/22/12 14:00:39,DataEase,fishec50
105,162,4,,,,DataEase,DataEase
106,163,66,,,,DataEase,DataEase
107,164,126,,,,DataEase,DataEase
108,165,35,,,,DataEase,DataEase
110,167,132,,,,DataEase,DataEase
111,168,94,,,,DataEase,DataEase
112,170,148,,,,DataEase,DataEase
113,171,34,,,,DataEase,DataEase
114,172,68,,,,DataEase,DataEase
115,173,114,,,,DataEase,DataEase
116,174,110,,,,DataEase,DataEase
117,175,66,,,,DataEase,DataEase
118,178,124,,,,DataEase,DataEase
119,179,66,,,,DataEase,DataEase
120,180,66,,,,DataEase,DataEase
121,181,101,,,,DataEase,DataEase
122,182,66,,,,DataEase,DataEase
123,183,151,,,,DataEase,DataEase
124,184,149,,,,DataEase,DataEase
125,185,133,,,,DataEase,DataEase
126,187,85,,,,DataEase,DataEase
127,191,53,,,,DataEase,DataEase
128,192,79,,,,DataEase,DataEase
129,193,60,,,,DataEase,DataEase
130,195,66,,,,DataEase,DataEase
131,196,57,,,,DataEase,DataEase
132,197,57,,,,DataEase,DataEase
133,198,17,,,,DataEase,DataEase
134,200,39,,,,DataEase,DataEase
135,202,117,,,,DataEase,DataEase
136,203,106,,,,DataEase,DataEase
137,204,128,,,,DataEase,DataEase
138,206,19,,,,DataEase,DataEase
139,207,7,,,,DataEase,DataEase
140,208,152,,,,DataEase,DataEase
