Ref,Storyline,Comments,CDate,UDate,CName,UName
1,"Accidents",,"02/11/99 00:00:00","08/30/02 12:42:09","DataEase","fishec50"
2,"April Fool",,"02/11/99 00:00:00","05/27/04 15:51:34","DataEase","fishec50"
3,"Assault Of George Barford","See  burglaries","02/11/99 00:00:00","11/14/01 15:18:25","DataEase","fishec50"
4,"Australia Trip",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
5,"B&B",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
7,"Bats In The Church",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
8,"Bert's Find",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
9,"Birth",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
10,"Birthday",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
11,"Bonfire Night","Takes place on the Village Green","02/11/99 00:00:00","08/16/99 15:15:47","DataEase","fishec50"
12,"Borchester By-Pass Widening",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
13,"Bridge Farm",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
14,"Bridge Farm Shop","See Ambridge Organics for the Bridge Farm shop opened in 2000","02/11/99 00:00:00","02/14/02 10:14:47","DataEase","fishec50"
15,"Brookfield / Estate Land",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
16,"Building At Sawyer's Farm",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
17,"Burglaries","See assault on George Barford","02/11/99 00:00:00","11/14/01 15:14:22","DataEase","fishec50"
18,"Business Units",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
19,"Car Boot Sales",,"02/11/99 00:00:00","08/24/04 14:22:06","DataEase","fishec50"
20,"Caroline And Graham",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
21,"Caroline And Guy",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
22,"Caroline's Head Injury",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
23,"Caroline's Love Life",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
25,"Christmas","Christmas 2002 also see Daring Daniel for the missing Jesus story. 
Christmas 2007 see Christmas Concert and Grundys Christmas","02/11/99 00:00:00","01/09/08 12:36:29","DataEase","fishec50"
26,"Production - Christmas Show 1995",,"02/11/99 00:00:00","07/20/11 17:20:05","DataEase","fishec50"
27,"Church Tourism",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
31,"Clive's Return",,"02/11/99 00:00:00","02/11/99 00:00:00","DataEase","DataEase"
34,"Cricket","2004 see Lucky the gnome","02/11/99 00:00:00","10/25/04 14:47:32","DataEase","fishec50"
