04-Aug-14,1,Beach. Rain,Adam dreams of Sam. He dreams that he and Sam are searching the beach for treasure. Sam finds a pirateês chest full of a bright white light. Sam thinks the white light will make them rich. Adam doesnêt think anyone will want to buy it.,"Adam, Sam"
04-Aug-14,2,Wilson Household,Adam wakes up.  He sees his mother and the Rev. Winwood. Their heads bent in prayer. Both of them muttering to God. He tries to speak and his voice  cracks. His mother Florrie is thrilled.  Her prayers have been answered. She cries. The Rev. Winwood  thanks the Lord. Adam has been in a coma. For eight days. What happened to me? You were hit by lightning. Whereês Sam? Sam was hit by lightning too. Adam survived but Sam did not. ,"Adam, Florrie, Ralph"
04-Aug-14,3,Vicarage,The Reverend arrives home to tell his housemaid Esme the good news.  Her brother Adam is alive. He sends her home to her mother.  But first he gives her money to buy sweets for the boy. He is left with his wife Dorothea who has taken to her bed in the middle of the afternoon. He goes to see her. Sits on the edge of the bed and takes her hand. Tells her that a small miracle happened today.,"Ralph, Esme, Dorothea"
04-Aug-14,4,Streets to Shop to train Station to Wilton Household,Esme runs through the streets. Which are full of people. Buying food like thereês no tomorrow. She goes into a grocers. Tries to buy something for Adam but they are all sold out. She goes to another.  Finds almost the last bag of rhubarb and custard in the world.,Esme
05-Aug-14,1,Breakfast in the Wilson household,Albert asks Kitty if Dieter has registered yet. Kitty says that he hasnêt but he will do. Albert says he only has two more days.  Kitty says he knows that. He will register. He will. Albert asks Kitty what heês waiting for?,"Albert, Kitty"
05-Aug-14,2,Grand Hotel,Kitty goes to the Grand Hotel where Dieter is serving breakfast to the guests. They have a brief whispered conversation. Her father is worried that Dieter hasnêt registered. Dieter says he will do. Kitty asks him will he do it soon? They arrange to meet when Kitty has finished work.,"Kitty, Dieter"
05-Aug-14,3, Wilson household,"The vicar comes to visit the Wilsons to see how Adam is. The vicar feels responsible for what happened. Florrie tells him not to be so daft. The vicar was with Adam when he was hit by lightning. Does Adam remember?  Miss Graham was with them too. Does he remember that?  Adam doesnêt. The Vicar tries to ascertain what Adam does remember about that day.  The day of the Sunday school picnic.  Adam remembers eating a ham sandwich. Remembers finding an old suitcase on the beach. Remembers being told by the Reverend not to wander off. Remembers that Miss Winwood and the Reverend disappeared. Remembers that they did wander off _ him and Sam.  Because there was no one watching them.  And then it started to rain. And they hid in the warren from the rain and then and then.  He doesnêt remember anything else.  Really? The Vicar seems relieved. Adam asks the Vicar if the lightening was a punishment from God? The Vicar dismisses this idea. Says that the lightening also hit himself and Miss Graham. Why would God want to punish Adam, Miss Graham or himself? Adam doesnêt know. But he thinks there must be a reason.","Ralph, Adam, Florrie"
05-Aug-14,5,Vicarage or somewhere more public?,Rev. Winwood  and Miss Graham meet at the Vicarage under the pretext of planning the next Sunday school lesson. Rev Winwood tells Miss Graham that the boy didnêt see them.  Or he did see them but he doesnêt remember that he saw them. That they are undiscovered. Miss Graham feels guilty about Samês death. If  she and the vicar hadnêt wandered off then the boys wouldnêt have wandered off either. Ralph tells her that she canêt blame herself for lightening. The lightening was an act of God. They donêt kiss because they are at the Vicarage. And Dorothea is just upstairs sleeping. ,"Ralph, Isabel"
05-Aug-14,6,Alderman Grahamês home,Miss Graham goes home to her father Mr Alderman Gabriel Graham. The Councillor. Who expects her to do everything for him. Who wants to discuss tonightês Council meeting. And what suit he should wear. ,"Isabel, Gabriel"
05-Aug-14,7,Council Meeting,Gabriel talks about how there is a shadow overhead and they must practice forbearance.  We get a strong sense of someone who is not quite in touch with what is required. Hillary thinks they need more than forbearance. They need to planning.  They need to think ahead. Think about billeting soldiers and refugees. What refugees? Well there will be refugees. Inevitably. And they will arrive here with nothing. They will need supplies. Food. Clothes. Someone will need to organise all this. Folkestone will become unrecognisable. And the first thing they should do is do something about the panic buying. ,"Gabriel, Hillary"
